Gênero,Tipo de Escola,INDE 22,INDE 23,INDE 24,IAA,IEG,IPS,IPP,IDA,IPV,IAN,Defasagem
Masculino,Pública,0.0,0.0,7.8845333333,9.002,9.1666666665,7.51,7.5,8.25,7.5,5.0,-1
Feminino,Pública,0.0,8.486033333,7.722033333300001,10.002,8.1666666665,7.51,6.875,8.25,7.5,5.0,-2
Feminino,Pública,8.154543650793652,7.26545,6.684533333300001,8.002,8.4166666665,2.51,7.5,6.0,7.5,5.0,-1
Masculino,Pública,0.0,0.0,7.95295,9.002,8.875,6.885,6.5625,8.75,5.915,10.0,0
Feminino,Pública,0.0,0.0,8.47795,9.502,9.0,7.51,8.4375,7.5,8.165,10.0,0
Masculino,Pública,0.0,0.0,7.487366666700001,10.002,9.0833333335,7.51,6.875,7.0,6.66,5.0,-1
Masculino,Pública,0.0,0.0,8.332450000000001,10.002,10.0,7.51,7.8125,8.5,8.0,5.0,-1
Masculino,Pública,0.0,7.3747,7.075466666700001,7.918,8.5833333335,2.51,7.5,8.5,6.83,5.0,-1
Masculino,Pública,0.0,0.0,8.9824954545,9.002,9.5227272725,7.51,8.4375,10.0,7.915,10.0,0
Feminino,Pública,0.0,0.0,7.6397833333000005,9.002,9.2916666665,7.51,7.8125,4.5,7.245,10.0,0
Feminino,Pública,0.0,0.0,8.264116666700001,9.002,9.3333333335,7.51,7.8125,7.5,7.325,10.0,0
Feminino,Pública,0.0,0.0,8.0588666667,8.502,8.2083333335,7.51,7.5,10.0,7.83,5.0,-1
Masculino,Pública,0.0,0.0,7.98945,9.502,10.0,7.51,6.5625,6.5,6.66,10.0,0
Feminino,Pública,0.0,0.0,8.944616666700002,10.002,9.3333333335,7.51,8.4375,9.5,7.915,10.0,0
Feminino,Pública,0.0,0.0,7.8522833333,9.002,7.291666666499999,7.51,8.4375,7.25,7.245,10.0,0
Feminino,Pública,0.0,7.0687,7.8262,9.002,7.25,7.51,8.75,9.0,7.75,5.0,-2
Masculino,Pública,0.0,0.0,8.1040529412,8.502,9.411764706,7.51,9.375,8.25,7.665,5.0,-2
Masculino,Pública,6.602085000000001,6.0537,5.6127,8.502,6.25,5.625,2.5,6.25,4.75,5.0,-2
Masculino,Pública,0.0,0.0,8.213199999999999,7.502,10.0,6.255,9.375,9.25,7.75,5.0,-1
Feminino,Pública,0.0,9.1737,8.338700000000001,9.502,9.75,7.51,9.375,8.5,7.75,5.0,-1
Masculino,Pública,0.0,0.0,8.350200000000001,10.002,10.0,5.625,9.375,9.0,7.75,5.0,-1
Feminino,Pública,0.0,7.6872,7.746700000000001,8.002,9.25,5.01,8.125,8.75,7.665,5.0,-1
Masculino,Pública,6.9760288087452,7.0927,7.361700000000001,10.002,8.75,7.51,8.125,5.5,7.24,5.0,-2
Masculino,Pública,0.0,0.0,8.3217,9.002,9.75,7.51,9.375,8.75,7.665,5.0,-2
Feminino,Pública,6.921727523809524,6.9287,6.566200000000001,10.002,8.75,2.51,7.5,5.0,6.575,5.0,-2
Masculino,Pública,0.0,6.7372,8.0056026915,9.502,9.544513457499999,7.51,8.125,7.75,7.665,5.0,-1
Feminino,Pública,0.0,0.0,7.141365631500001,9.502,6.2008281575,2.51,7.5,9.5,7.75,5.0,-1
Masculino,Pública,0.0,0.0,6.015144444400001,8.002,4.722222222,7.51,6.875,6.0,5.66,5.0,-2
Masculino,Pública,0.0,0.0,6.1368428571,8.002,8.6607142855,7.51,6.875,3.0,5.33,5.0,-1
Feminino,Pública,0.0,0.0,7.3547,8.502,10.0,6.885,5.0,8.75,5.33,5.0,-1
Feminino,Pública,0.0,0.0,8.3422714286,9.502,8.392857143,7.51,5.625,10.0,7.0,10.0,0
Masculino,Pública,0.0,0.0,7.862906349200001,10.002,9.246031746,7.51,5.625,10.0,6.0,5.0,-1
