ID_ALUNO,ANO,IAN,IDA,IEG,IAA,IPS,IPP,IPV,INDE_2024,DEFAS_UNICA,DELTA_IDA
RA-1048,2024,10.0,6.25,6.833333333500001,8.502,6.255,7.708333333,8.283333333,7.5198666666000005,1.0,-1.9499999999999993
RA-1049,2023,5.0,6.3,7.7,10.0,7.52,8.125,7.943333333,,-1.0,
RA-1049,2024,5.0,4.5,8.03030303,9.502,7.51,7.65625,6.745,6.821885606,-1.0,-1.7999999999999998
RA-1050,2023,5.0,7.2,9.2,9.0,6.27,8.125,8.223333333,,-1.0,
RA-1051,2023,10.0,8.4,8.9,8.5,6.27,8.75,8.613333333,,0.0,
RA-1052,2023,10.0,5.3,9.0,0.0,7.52,7.916666667,7.833333333,,0.0,
RA-1052,2024,5.0,8.25,9.128787879,5.834,6.26,8.59375,8.4975,7.744032575800001,-1.0,2.95
RA-1053,2023,10.0,8.6,9.1,0.0,6.27,8.958333333,8.616666667,,0.0,
RA-1054,2023,5.0,6.6,8.6,8.5,7.52,7.5,7.836666667,,-2.0,
RA-1054,2024,5.0,6.25,7.3291925465,9.502,7.51,7.1875,6.75,6.985788509300001,-1.0,-0.34999999999999964
RA-1055,2023,5.0,5.5,7.2,0.0,7.52,7.291666667,7.276666667,,-1.0,
RA-1055,2024,5.0,5.5,5.7954545455,10.002,7.51,7.1875,5.87,6.403040909100001,-2.0,0.0
RA-1056,2023,10.0,8.1,9.6,8.5,7.52,7.96875,8.113333333,,0.0,
RA-1056,2024,5.0,8.25,9.2857142855,8.502,7.51,9.166666667,8.335,8.192009523800001,-1.0,0.15000000000000036
RA-1057,2023,10.0,6.3,10.0,10.0,7.52,8.125,8.34,,0.0,
RA-1057,2024,5.0,8.0,10.0,10.002,6.26,8.75,8.17,8.2352,-1.0,1.7000000000000002
RA-1058,2023,10.0,5.4,8.7,10.0,3.14,7.083333333,7.62,,0.0,
RA-1058,2024,5.0,7.75,8.095238095,9.168,6.88,8.125,8.085,7.703347619,-1.0,2.3499999999999996
RA-1059,2023,5.0,7.6,9.8,10.0,2.52,7.96875,8.673333333,,-1.0,
RA-1059,2024,10.0,7.5,10.0,8.002,6.26,9.0625,9.23,8.678450000000002,0.0,-0.09999999999999964
RA-106,2023,10.0,7.3,9.1,7.9,5.0,7.03125,7.5075,,0.0,-0.10000000000000053
